platform,content,score,user,time,movie_id,clean_content,words,word_count,words_str
豆瓣电影,原来人死后还要继续干生前的活儿是真的。,4,了不起的花轮君,2023-01-22 16:31:45,35267208,原来人死后还要继续干生前的活儿是真的。,"['原来', '人死', '还要', '继续', '生前', '活儿', '真的']",7,原来 人死 还要 继续 生前 活儿 真的
豆瓣电影,不必对比什么 作为里程碑他已经无敌,5,电子梦,2023-01-22 12:01:06,35267208,不必对比什么 作为里程碑他已经无敌,"['不必', '对比', '作为', '里程碑', '已经', '无敌']",6,不必 对比 作为 里程碑 已经 无敌
豆瓣电影,“这是俄罗斯的型号，没有安全保险，只有两个扳机。”,4,无名英熊,2023-01-22 19:19:50,35267208,这是俄罗斯的型号，没有安全保险，只有两个扳机。,"['这是', '俄罗斯', '型号', '安全', '保险', '两个', '扳机']",7,这是 俄罗斯 型号 安全 保险 两个 扳机
豆瓣电影,2019年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。🥰与有荣焉。今天很想念组里的朋友们。,5,DrunkenPeach,2023-01-22 13:57:05,35267208,年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。与有荣焉。今天很想念组里的朋友们。,"['第一部', '时候', '想着', '回国', '之后', '剧组', '工作', '结果', '今年', '真的', '这部', '片尾', '字幕', '有荣', '今天', '想念', '组里', '朋友']",18,第一部 时候 想着 回国 之后 剧组 工作 结果 今年 真的 这部 片尾 字幕 有荣 今天 想念 组里 朋友
豆瓣电影,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：“这是国产电影能有的剧情吗？”,5,关山难越,2023-01-22 16:27:22,35267208,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：这是国产电影能有的剧情吗？,"['刘德华', '那条', '整个', '电影', '情节', '优化', '不止', '一点儿', '尤其', '溺水', '推开', '那一刻', '瞬间', '这是', '国产电影', '剧情']",16,刘德华 那条 整个 电影 情节 优化 不止 一点儿 尤其 溺水 推开 那一刻 瞬间 这是 国产电影 剧情
豆瓣电影,"《流浪地球》系列，单枪匹马，把中国的科幻电影提升到世界级水平。
这不是老套的个人英雄主义冒险故事，而是一个宏大的全人类史诗。
但是，173分钟的片长，三条缺乏交互的故事线，慢热的节奏，劝退路人的冗长数字生命线，确实是讨好了影迷与科幻迷，可无疑也是提高了对广大路人的门槛。
豆瓣用户狂吹刘德华线，但电影院里刘德华线却让很多观众低头玩手机。
2023年1月22日，刘培强先生，生日快乐！
可能也就世界末日了，房价才会跌。
最后，这不比《阿凡达2》的家庭伦理与美式霸凌好看?",5,碎玉屠龙,2023-01-22 12:11:21,35267208,《流浪地球》系列，单枪匹马，把中国的科幻电影提升到世界级水平。 这不是老套的个人英雄主义冒险故事，而是一个宏大的全人类史诗。 但是，分钟的片长，三条缺乏交互的故事线，慢热的节奏，劝退路人的冗长数字生命线，确实是讨好了影迷与科幻迷，可无疑也是提高了对广大路人的门槛。 豆瓣用户狂吹刘德华线，但电影院里刘德华线却让很多观众低头玩手机。 年月日，刘培强先生，生日快乐！ 可能也就世界末日了，房价才会跌。 最后，这不比《阿凡达》的家庭伦理与美式霸凌好看,"['流浪', '地球', '系列', '单枪匹马', '中国', '科幻电影', '提升', '世界级', '水平', '不是', '老套', '个人', '英雄主义', '冒险', '故事', '而是', '宏大', '全人类', '史诗', '分钟', '片长', '三条', '缺乏', '交互', '故事', '慢热', '节奏', '退路', '冗长', '数字', '生命线', '确实', '讨好', '影迷', '科幻', '无疑', '提高', '广大', '路人', '门槛', '豆瓣', '用户', '狂吹', '刘德华', '电影院', '刘德华', '很多', '观众', '低头', '手机', '年月日', '刘培强', '先生', '生日快乐', '可能', '世界末日', '房价', '最后', '这不比', '阿凡', '家庭', '伦理', '美式', '霸凌', '好看']",65,流浪 地球 系列 单枪匹马 中国 科幻电影 提升 世界级 水平 不是 老套 个人 英雄主义 冒险 故事 而是 宏大 全人类 史诗 分钟 片长 三条 缺乏 交互 故事 慢热 节奏 退路 冗长 数字 生命线 确实 讨好 影迷 科幻 无疑 提高 广大 路人 门槛 豆瓣 用户 狂吹 刘德华 电影院 刘德华 很多 观众 低头 手机 年月日 刘培强 先生 生日快乐 可能 世界末日 房价 最后 这不比 阿凡 家庭 伦理 美式 霸凌 好看
豆瓣电影,笨笨！！你是军犬！！,5,水逆退散,2023-01-22 16:30:59,35267208,笨笨！！你是军犬！！,"['笨笨', '军犬']",2,笨笨 军犬
豆瓣电影,我看有些人说又红又爹，感觉确实有点儿。但是点完头我又想，美国哪部电影不是又“蓝”又“宇宙第一”？,5,玛丽莲萌鹿,2023-01-24 19:03:12,35267208,我看有些人说又红又爹，感觉确实有点儿。但是点完头我又想，美国哪部电影不是又蓝又宇宙第一？,"['有些', '感觉', '确实', '有点儿', '完头', '美国', '哪部', '电影', '不是', '宇宙', '第一']",11,有些 感觉 确实 有点儿 完头 美国 哪部 电影 不是 宇宙 第一
豆瓣电影,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,3,HarperDie,2023-01-22 11:53:37,35267208,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,"['三星', '郭帆', '拍片', '恳切', '场景', '设计', '视效', '细腻', '度上', '展现', '淋漓尽致', '一次', '拉高', '中国', '科幻', '作品', '工业', '水准', '雪健', '老师', '依旧', '老辣', '刘德华', '收获', '近年来', '最有', '挑战', '角色', '可惜', '这部', '续作', '叙事', '层面', '太过', '松散', '刘培强', '图恒宇', '两条', '主线', '并行', '还要', '周喆直', '超大', '篇幅', '以至于', '情节', '取舍', '变得', '犹疑不决', '节奏', '先行', '科幻片', '大忌', '角色', '篆刻', '比重', '系列', '未来', '第一', '优先', '功课']",61,三星 郭帆 拍片 恳切 场景 设计 视效 细腻 度上 展现 淋漓尽致 一次 拉高 中国 科幻 作品 工业 水准 雪健 老师 依旧 老辣 刘德华 收获 近年来 最有 挑战 角色 可惜 这部 续作 叙事 层面 太过 松散 刘培强 图恒宇 两条 主线 并行 还要 周喆直 超大 篇幅 以至于 情节 取舍 变得 犹疑不决 节奏 先行 科幻片 大忌 角色 篆刻 比重 系列 未来 第一 优先 功课
豆瓣电影,放几年前，我会跟着愤青一起骂，骂故事写的不好，骂节奏，但其实我的阅片量来讲根本不懂这些。无非就是跟风黑，显得自己多专业一样。现在呢？有一部电影3个小时让我不困，让我感慨，让我跟着它的思路去走，还能看到中国电影人走向世界的野心，就已经足够了。,5,一叶小江南,2023-01-23 09:13:12,35267208,放几年前，我会跟着愤青一起骂，骂故事写的不好，骂节奏，但其实我的阅片量来讲根本不懂这些。无非就是跟风黑，显得自己多专业一样。现在呢？有一部电影个小时让我不困，让我感慨，让我跟着它的思路去走，还能看到中国电影人走向世界的野心，就已经足够了。,"['几年', '我会', '跟着', '愤青', '一起', '故事', '不好', '节奏', '阅片量', '来讲', '根本', '这些', '无非', '跟风', '显得', '专业', '一样', '现在', '一部', '电影', '小时', '不困', '感慨', '跟着', '思路', '看到', '中国', '电影', '走向世界', '野心', '已经', '足够']",32,几年 我会 跟着 愤青 一起 故事 不好 节奏 阅片量 来讲 根本 这些 无非 跟风 显得 专业 一样 现在 一部 电影 小时 不困 感慨 跟着 思路 看到 中国 电影 走向世界 野心 已经 足够
豆瓣电影,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短30min。,4,崇魔媚沪的王黑,2023-01-22 12:06:58,35267208,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短min。,"['刘德华', '那条', '有点儿', '意思', '这个', '系列', '电影', '开启', '维度', '太长', '删减', '强制', '煽情', '能量', 'min']",15,刘德华 那条 有点儿 意思 这个 系列 电影 开启 维度 太长 删减 强制 煽情 能量 min
豆瓣电影,看完了，大年初一就在电影院哭了，那种与天斗与人斗与命运斗只为了未知的未来和理想奋斗的中式硬核浪漫让人心潮澎湃。李雪健那个角色在大会的发言真的超牛，大刘笔下的科幻真是处处有着中国人特有的务实和真诚，好喜欢，这电影真的太特么牛批了！,5,🛸,2023-01-22 12:13:50,35267208,看完了，大年初一就在电影院哭了，那种与天斗与人斗与命运斗只为了未知的未来和理想奋斗的中式硬核浪漫让人心潮澎湃。李雪健那个角色在大会的发言真的超牛，大刘笔下的科幻真是处处有着中国人特有的务实和真诚，好喜欢，这电影真的太特么牛批了！,"['大年初一', '电影院', '那种', '天斗', '人斗', '命运', '为了', '未知', '未来', '理想', '奋斗', '中式', '硬核', '浪漫', '心潮澎湃', '李雪健', '那个', '角色', '大会', '发言', '真的', '超牛', '笔下', '科幻', '真是', '处处', '有着', '中国', '特有', '务实', '真诚', '喜欢', '电影', '真的', '太特', '牛批']",36,大年初一 电影院 那种 天斗 人斗 命运 为了 未知 未来 理想 奋斗 中式 硬核 浪漫 心潮澎湃 李雪健 那个 角色 大会 发言 真的 超牛 笔下 科幻 真是 处处 有着 中国 特有 务实 真诚 喜欢 电影 真的 太特 牛批
