platform,content,score,user,time,movie_id,clean_content,words,word_count,sentiment_label,sentiment_prob,sentiment_text,entities,person_entities,location_entities,organization_entities,product_entities,keywords,keyword_list,is_long,topic_0,topic_1,topic_2,dominant_topic,aspect_results,aspect_电影,aspect_中国,aspect_科幻,aspect_人类,aspect_地球,aspect_故事,aspect_角色,aspect_女性,aspect_刘德华,aspect_流浪,topic_3,topic_4,summary
豆瓣电影,不必对比什么 作为里程碑他已经无敌,5,电子梦,2023-01-22 12:01:06,35267208,不必对比什么 作为里程碑他已经无敌,"['不必', '对比', '作为', '里程碑', '已经', '无敌']",6,2,0.4718213379383087,正面,"[(' ', 'OTHER', 6, 7)]",[],[],[],[],"[('无敌', 2.38921805753), ('里程碑', 2.1621010559825), ('对比', 1.7241758788125), ('作为', 1.0501021204875)]","['无敌', '里程碑', '对比', '作为']",False,0.8851610501837516,0.028577201834376006,0.028981777075575588,0,"[('里程碑', '中性', 0.0, '什么 作为里程碑他已经无敌', [])]",无,无,无,无,无,无,无,无,无,无,0.02857610283144944,0.028703868074847406,
豆瓣电影,2019年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。🥰与有荣焉。今天很想念组里的朋友们。,5,DrunkenPeach,2023-01-22 13:57:05,35267208,年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。与有荣焉。今天很想念组里的朋友们。,"['第一部', '时候', '想着', '回国', '之后', '剧组', '工作', '结果', '今年', '真的', '这部', '片尾', '字幕', '有荣', '今天', '想念', '组里', '朋友']",18,2,0.4385464787483215,正面,"[('，', 'OTHER', 11, 12), ('回国', 'LOCATION', 12, 14), ('，', 'OTHER', 30, 31), ('今年', 'TIME', 33, 35), ('。', 'MOVIE', 47, 48), ('荣焉', 'PERSON', 50, 52), ('。', 'OTHER', 52, 53), ('今天', 'TIME', 53, 55), ('。', 'OTHER', 64, 65)]",['荣焉'],['回国'],[],[],"[('字幕', 1.11926274509), ('组里', 1.11280889297), ('剧组', 1.02371160058), ('想念', 0.89102450652), ('回国', 0.673905564904), ('想着', 0.6196316484069999), ('朋友', 0.584710848284), ('结果', 0.494561670134), ('时候', 0.428874633344), ('工作', 0.42027393423500004)]","['字幕', '组里', '剧组', '想念', '回国', '想着', '朋友', '结果', '时候', '工作']",False,0.010638418974786148,0.010665348614748837,0.010664700337050545,3,"[('时候', '中性', 0.0, '看第一部的时候就想着，回', []), ('回国', '中性', 0.0, '候就想着，回国之后如果能', []), ('剧组', '正面', 0.3333333333333333, '能在这样的剧组工作就好了', [('好', 1.0)]), ('结果', '正面', 0.3333333333333333, '作就好了，结果今年就真的', [('好', 1.0)]), ('字幕', '中性', 0.0, '这部的片尾字幕了。与有荣', []), ('荣焉', '中性', 0.0, '幕了。与有荣焉。今天很想', []), ('组里', '中性', 0.0, '今天很想念组里的朋友们。', []), ('朋友', '中性', 0.0, '想念组里的朋友们。', [])]",无,无,无,无,无,无,无,无,无,无,0.9574119158154093,0.01061961625800511,
豆瓣电影,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：“这是国产电影能有的剧情吗？”,5,关山难越,2023-01-22 16:27:22,35267208,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：这是国产电影能有的剧情吗？,"['刘德华', '那条', '整个', '电影', '情节', '优化', '不止', '一点儿', '尤其', '溺水', '推开', '那一刻', '瞬间', '这是', '国产电影', '剧情']",16,2,0.46880042552948,正面,"[('刘德华', 'PERSON', 0, 3), ('，', 'MOVIE', 6, 7), ('，', 'OTHER', 22, 23), ('，', 'MOVIE', 36, 37), ('瞬间', 'TIME', 38, 40), ('：', 'MOVIE', 40, 41), ('？', 'MOVIE', 53, 54)]",['刘德华'],[],[],[],"[('国产电影', 1.3003836749555555), ('溺水', 1.170375758), ('剧情', 1.0153893019088889), ('能有', 0.9071228171666667), ('情节', 0.82957012591), ('推开', 0.8177386280877778), ('不止', 0.8069010958677778), ('优化', 0.7617525038722222), ('电影', 0.7397644143533334)]","['国产电影', '溺水', '剧情', '能有', '情节', '推开', '不止', '优化', '电影']",False,0.011925968580548006,0.9524036020916278,0.01192080779263141,1,"[('刘德华', '中性', 0.0, '刘德华那条线，给', []), ('电影', '中性', 0.0, '线，给整个电影情节优化了', []), ('情节', '中性', 0.0, '给整个电影情节优化了不止', []), ('国产电影', '中性', 0.0, '瞬间：这是国产电影能有的剧情', []), ('剧情', '中性', 0.0, '电影能有的剧情吗？', [])]",中性,无,无,无,无,无,无,无,中性,无,0.011894202576862106,0.011855418958330807,
豆瓣电影,"《流浪地球》系列，单枪匹马，把中国的科幻电影提升到世界级水平。
这不是老套的个人英雄主义冒险故事，而是一个宏大的全人类史诗。
但是，173分钟的片长，三条缺乏交互的故事线，慢热的节奏，劝退路人的冗长数字生命线，确实是讨好了影迷与科幻迷，可无疑也是提高了对广大路人的门槛。
豆瓣用户狂吹刘德华线，但电影院里刘德华线却让很多观众低头玩手机。
2023年1月22日，刘培强先生，生日快乐！
可能也就世界末日了，房价才会跌。
最后，这不比《阿凡达2》的家庭伦理与美式霸凌好看?",5,碎玉屠龙,2023-01-22 12:11:21,35267208,《流浪地球》系列，单枪匹马，把中国的科幻电影提升到世界级水平。 这不是老套的个人英雄主义冒险故事，而是一个宏大的全人类史诗。 但是，分钟的片长，三条缺乏交互的故事线，慢热的节奏，劝退路人的冗长数字生命线，确实是讨好了影迷与科幻迷，可无疑也是提高了对广大路人的门槛。 豆瓣用户狂吹刘德华线，但电影院里刘德华线却让很多观众低头玩手机。 年月日，刘培强先生，生日快乐！ 可能也就世界末日了，房价才会跌。 最后，这不比《阿凡达》的家庭伦理与美式霸凌好看,"['流浪', '地球', '系列', '单枪匹马', '中国', '科幻电影', '提升', '世界级', '水平', '不是', '老套', '个人', '英雄主义', '冒险', '故事', '而是', '宏大', '全人类', '史诗', '分钟', '片长', '三条', '缺乏', '交互', '故事', '慢热', '节奏', '退路', '冗长', '数字', '生命线', '确实', '讨好', '影迷', '科幻', '无疑', '提高', '广大', '路人', '门槛', '豆瓣', '用户', '狂吹', '刘德华', '电影院', '刘德华', '很多', '观众', '低头', '手机', '年月日', '刘培强', '先生', '生日快乐', '可能', '世界末日', '房价', '最后', '这不比', '阿凡', '家庭', '伦理', '美式', '霸凌', '好看']",65,2,0.5940492153167725,正面,"[('《', 'OTHER', 0, 1), ('》', 'OTHER', 5, 6), ('，', 'OTHER', 8, 9), ('，', 'MOVIE', 13, 14), ('中国', 'LOCATION', 15, 17), ('。', 'MOVIE', 30, 31), (' ', 'OTHER', 31, 32), ('英雄主义', 'OTHER', 40, 44), ('，', 'OTHER', 48, 49), ('史诗', 'PERSON', 59, 61), ('。', 'OTHER', 61, 62), (' ', 'OTHER', 62, 63), ('，', 'MOVIE', 65, 66), ('，', 'MOVIE', 71, 72), ('，', 'OTHER', 82, 83), ('，', 'OTHER', 88, 89), ('，', 'OTHER', 101, 102), ('，', 'OTHER', 114, 115), ('。', 'OTHER', 131, 132), (' ', 'OTHER', 132, 133), ('刘德华', 'PERSON', 139, 142), ('，', 'MOVIE', 143, 144), ('刘德华', 'PERSON', 149, 152), ('。', 'OTHER', 164, 165), (' ', 'OTHER', 165, 166), ('年月日', 'TIME', 166, 169), ('，', 'OTHER', 169, 170), ('刘培强', 'PERSON', 170, 173), ('，', 'OTHER', 175, 176), ('！', 'OTHER', 180, 181), (' ', 'OTHER', 181, 182), ('，', 'OTHER', 191, 192), ('。', 'OTHER', 197, 198), (' ', 'OTHER', 198, 199), ('，', 'OTHER', 201, 202), ('《', 'OTHER', 205, 206), ('阿凡达', 'PERSON', 206, 209), ('》', 'OTHER', 209, 210), ('伦理', 'LOCATION', 213, 215), ('霸凌', 'LOCATION', 218, 220)]","['史诗', '刘德华', '刘德华', '刘培强', '阿凡达']","['中国', '伦理', '霸凌']",[],[],"[('科幻电影', 0.29796150692619044), ('片长', 0.2926485652261905), ('故事', 0.29144640781285713), ('狂吹', 0.28463732149761906), ('霸凌', 0.28463732149761906), ('老套', 0.2738757709333333), ('豆瓣', 0.2649544983261905), ('科幻', 0.25530056718095234), ('冗长', 0.23879706288333336), ('路人', 0.23429130098642856), ('影迷', 0.2334841211845238), ('美式', 0.2330905663761905), ('生命线', 0.22914313173714285), ('全人类', 0.2257580248614286), ('电影院', 0.22061782532738097), ('世界级', 0.21862330430190474), ('交互', 0.21471132689023809), ('退路', 0.2141762588938095), ('流浪', 0.20868760035547618), ('讨好', 0.20087728207023808)]","['科幻电影', '片长', '故事', '狂吹', '霸凌', '老套', '豆瓣', '科幻', '冗长', '路人', '影迷', '美式', '生命线', '全人类', '电影院', '世界级', '交互', '退路', '流浪', '讨好']",True,0.003070490096569429,0.003049666474212892,0.0030727165848093005,3,"[('流浪', '中性', 0.0, '《流浪地球》系列', []), ('地球', '中性', 0.0, '《流浪地球》系列，单', []), ('中国', '中性', 0.0, '枪匹马，把中国的科幻电影', []), ('科幻电影', '中性', 0.0, '，把中国的科幻电影提升到世界', []), ('世界级', '中性', 0.0, '电影提升到世界级水平。 这', []), ('水平', '中性', 0.0, '升到世界级水平。 这不是', []), ('老套', '中性', 0.0, '。 这不是老套的个人英雄', []), ('个人', '中性', 0.0, '不是老套的个人英雄主义冒', []), ('英雄主义', '中性', 0.0, '老套的个人英雄主义冒险故事，', []), ('冒险', '中性', 0.0, '人英雄主义冒险故事，而是', []), ('故事', '中性', 0.0, '雄主义冒险故事，而是一个', []), ('全人类', '中性', 0.0, '一个宏大的全人类史诗。 但', []), ('史诗', '中性', 0.0, '大的全人类史诗。 但是，', []), ('片长', '中性', 0.0, '是，分钟的片长，三条缺乏', []), ('故事', '中性', 0.0, '雄主义冒险故事，而是一个', []), ('节奏', '中性', 0.0, '线，慢热的节奏，劝退路人', []), ('冗长', '中性', 0.0, '劝退路人的冗长数字生命线', []), ('数字', '中性', 0.0, '路人的冗长数字生命线，确', []), ('生命线', '中性', 0.0, '的冗长数字生命线，确实是讨', []), ('科幻', '中性', 0.0, '，把中国的科幻电影提升到', []), ('路人', '中性', 0.0, '节奏，劝退路人的冗长数字', []), ('门槛', '中性', 0.0, '广大路人的门槛。 豆瓣用', []), ('豆瓣', '中性', 0.0, '的门槛。 豆瓣用户狂吹刘', []), ('用户', '中性', 0.0, '槛。 豆瓣用户狂吹刘德华', []), ('刘德华', '中性', 0.0, '瓣用户狂吹刘德华线，但电影', []), ('电影院', '中性', 0.0, '德华线，但电影院里刘德华线', []), ('刘德华', '中性', 0.0, '瓣用户狂吹刘德华线，但电影', []), ('观众', '中性', 0.0, '线却让很多观众低头玩手机', []), ('低头', '中性', 0.0, '让很多观众低头玩手机。 ', []), ('手机', '中性', 0.0, '观众低头玩手机。 年月日', []), ('刘培强', '中性', 0.0, ' 年月日，刘培强先生，生日', []), ('先生', '中性', 0.0, '日，刘培强先生，生日快乐', []), ('生日快乐', '中性', 0.0, '培强先生，生日快乐！ 可能也', []), ('世界末日', '中性', 0.0, ' 可能也就世界末日了，房价才', []), ('房价', '中性', 0.0, '界末日了，房价才会跌。 ', []), ('阿凡达', '中性', 0.0, '，这不比《阿凡达》的家庭伦', []), ('家庭', '中性', 0.0, '阿凡达》的家庭伦理与美式', []), ('伦理', '中性', 0.0, '达》的家庭伦理与美式霸凌', []), ('美式', '中性', 0.0, '家庭伦理与美式霸凌好看', []), ('霸凌', '中性', 0.0, '伦理与美式霸凌好看', [])]",无,中性,中性,无,中性,中性,无,无,中性,中性,0.987746291888375,0.003060834956033273,但是，分钟的片长，三条缺乏交互的故事线，慢热的节奏，劝退路人的冗长数字生命线，确实是讨好了影迷与科幻迷，可无疑也是提高了对广大路人的门槛。
豆瓣电影,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,3,HarperDie,2023-01-22 11:53:37,35267208,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,"['三星', '郭帆', '拍片', '恳切', '场景', '设计', '视效', '细腻', '度上', '展现', '淋漓尽致', '一次', '拉高', '中国', '科幻', '作品', '工业', '水准', '雪健', '老师', '依旧', '老辣', '刘德华', '收获', '近年来', '最有', '挑战', '角色', '可惜', '这部', '续作', '叙事', '层面', '太过', '松散', '刘培强', '图恒宇', '两条', '主线', '并行', '还要', '周喆直', '超大', '篇幅', '以至于', '情节', '取舍', '变得', '犹疑不决', '节奏', '先行', '科幻片', '大忌', '角色', '篆刻', '比重', '系列', '未来', '第一', '优先', '功课']",61,2,0.5187958478927612,正面,"[('三星', 'OTHER', 0, 2), ('。', 'MOVIE', 3, 4), ('郭帆', 'PERSON', 4, 6), ('，', 'MOVIE', 11, 12), ('，', 'OTHER', 25, 26), ('，', 'OTHER', 34, 35), ('中国', 'LOCATION', 41, 43), ('。', 'OTHER', 52, 53), ('雪健', 'PERSON', 53, 55), ('，', 'OTHER', 61, 62), ('刘德华', 'PERSON', 62, 65), ('近年来', 'TIME', 69, 72), ('。', 'OTHER', 79, 80), ('，', 'OTHER', 84, 85), ('，', 'OTHER', 98, 99), ('刘培强', 'PERSON', 99, 102), ('、', 'OTHER', 102, 103), ('图恒宇', 'PERSON', 103, 106), ('，', 'OTHER', 112, 113), ('周', 'PERSON', 116, 117), ('，', 'OTHER', 123, 124), ('，', 'OTHER', 137, 138), ('。', 'OTHER', 153, 154), ('，', 'OTHER', 161, 162), ('未来', 'TIME', 167, 169), ('。', 'OTHER', 178, 179)]","['郭帆', '雪健', '刘德华', '刘培强', '图恒宇', '周']",['中国'],[],[],"[('角色', 0.40127721049599996), ('科幻片', 0.3657732960942857), ('视效', 0.34156478579714283), ('续作', 0.34156478579714283), ('科幻', 0.30636068061714283), ('大忌', 0.2859673529685714), ('篆刻', 0.2831912458688572), ('拍片', 0.2797086796514286), ('超大', 0.26891546520685716), ('取舍', 0.26645619067057147), ('篇幅', 0.25556715983914285), ('功课', 0.25127806223085714), ('叙事', 0.24694806514142859), ('并行', 0.24578172244085716), ('松散', 0.24358283555114285), ('水准', 0.24045373481399998), ('场景', 0.23217503161228573), ('展现', 0.23028674270285712), ('主线', 0.21651749748714286), ('优先', 0.21359453223057143)]","['角色', '科幻片', '视效', '续作', '科幻', '大忌', '篆刻', '拍片', '超大', '取舍', '篇幅', '功课', '叙事', '并行', '松散', '水准', '场景', '展现', '主线', '优先']",True,0.0032792399898187922,0.003254663018148246,0.0032720809698114006,4,"[('三星', '中性', 0.0, '三星半。郭帆拍', []), ('郭帆', '中性', 0.0, '三星半。郭帆拍片的恳切', []), ('拍片', '中性', 0.0, '星半。郭帆拍片的恳切，在', []), ('场景', '中性', 0.0, '的恳切，在场景设计和视效', []), ('视效', '正面', 0.3333333333333333, '场景设计和视效的细腻度上', [('细腻', 1.0)]), ('拉高', '中性', 0.0, '致，又一次拉高了中国科幻', []), ('中国', '中性', 0.0, '一次拉高了中国科幻作品的', []), ('科幻', '中性', 0.0, '拉高了中国科幻作品的工业', []), ('作品', '中性', 0.0, '了中国科幻作品的工业水准', []), ('工业', '中性', 0.0, '科幻作品的工业水准。雪健', []), ('水准', '中性', 0.0, '作品的工业水准。雪健老师', []), ('雪健', '中性', 0.0, '工业水准。雪健老师依旧老', []), ('老师', '中性', 0.0, '水准。雪健老师依旧老辣，', []), ('刘德华', '中性', 0.0, '依旧老辣，刘德华则收获了近', []), ('角色', '中性', 0.0, '最有挑战的角色。可惜的是', []), ('层面', '中性', 0.0, '续作在叙事层面太过松散，', []), ('刘培强', '中性', 0.0, '太过松散，刘培强、图恒宇两', []), ('图恒宇', '中性', 0.0, '，刘培强、图恒宇两条主线并', []), ('主线', '中性', 0.0, '图恒宇两条主线并行，还要', []), ('篇幅', '中性', 0.0, '周喆直超大篇幅，以至于情', []), ('情节', '中性', 0.0, '幅，以至于情节取舍变得犹', []), ('犹疑不决', '中性', 0.0, '节取舍变得犹疑不决，这对节奏', []), ('节奏', '中性', 0.0, '不决，这对节奏先行的科幻', []), ('先行', '中性', 0.0, '，这对节奏先行的科幻片来', []), ('科幻片', '中性', 0.0, '节奏先行的科幻片来说是大忌', []), ('大忌', '中性', 0.0, '幻片来说是大忌。角色的篆', []), ('角色', '中性', 0.0, '最有挑战的角色。可惜的是', []), ('篆刻', '中性', 0.0, '忌。角色的篆刻比重，是该', []), ('比重', '中性', 0.0, '角色的篆刻比重，是该系列', []), ('功课', '中性', 0.0, '优先要做的功课。', [])]",无,中性,中性,无,无,无,中性,无,中性,无,0.0032603890915809115,0.9869336269306407,雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。
豆瓣电影,原来人死后还要继续干生前的活儿是真的。,4,了不起的花轮君,2023-01-22 16:31:45,35267208,原来人死后还要继续干生前的活儿是真的。,"['原来', '人死', '还要', '继续', '生前', '活儿', '真的']",7,1,0.3947205245494842,中性,"[('生前', 'TIME', 10, 12), ('。', 'OTHER', 18, 19)]",[],[],[],[],"[('活儿', 4.086914952195), ('继续', 2.133712629145)]","['活儿', '继续']",False,0.025125807869040867,0.02510562470730753,0.02510019510480193,4,"[('活儿', '中性', 0.0, '续干生前的活儿是真的。', [])]",无,无,无,无,无,无,无,无,无,无,0.025220673919599007,0.8994476983992507,
豆瓣电影,“这是俄罗斯的型号，没有安全保险，只有两个扳机。”,4,无名英熊,2023-01-22 19:19:50,35267208,这是俄罗斯的型号，没有安全保险，只有两个扳机。,"['这是', '俄罗斯', '型号', '安全', '保险', '两个', '扳机']",7,2,0.558193027973175,正面,"[('俄罗斯', 'LOCATION', 2, 5), ('，', 'OTHER', 8, 9), ('，', 'OTHER', 15, 16), ('。', 'OTHER', 22, 23)]",[],['俄罗斯'],[],[],"[('扳机', 1.913988862338), ('型号', 1.477489508212), ('俄罗斯', 1.247360078654), ('保险', 1.240257649144), ('没有', 0.6225647130299999)]","['扳机', '型号', '俄罗斯', '保险', '没有']",False,0.025125431178430756,0.8992684494693152,0.025061490534307056,1,"[('俄罗斯', '中性', 0.0, '这是俄罗斯的型号，没', []), ('型号', '中性', 0.0, '是俄罗斯的型号，没有安全', []), ('保险', '中性', 0.0, '，没有安全保险，只有两个', []), ('扳机', '中性', 0.0, '，只有两个扳机。', [])]",无,无,无,无,无,无,无,无,无,无,0.02547536719524205,0.025069261622704852,
豆瓣电影,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实2044年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,3,小斑,2023-01-22 16:17:58,35267208,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,"['故事', '冗长', '稀碎', '一样', '完全', '清楚', '全程', '讲解', '旁边', '全程', '讲解', '那段', '这部', '必要', '关于', '生命', '文明', '现实', '虚拟', '标签', '口号', '智性', '讨论', '全程', '一群', '固执', '抗拒', '自然', '任何人', '说服', '甚至', '动摇', '强行', '意志', '支配', '地球', '地球', '所有', '生命', '称之为', '勇气', '前脚', '感叹', '人类', '最强', '密码', '互相攻击', '武器', '后腿', '人类', '分成', '我们', '你们', '一面', '想当', '老大', '我们', '你们', '其他', '任何人', '正确', '伟大光荣', '我们', '一面', '装和气', '我们', '全人类', '考虑', '我们', '伟大光荣', '正确', '决策', '造成', '后果', '承担责任', '不是', '强霸', '片刻', '制造', '这种', '自我', '矛盾', '好笑']",83,2,0.5158755779266357,正面,"[('。', 'OTHER', 7, 8), ('，', 'OTHER', 13, 14), ('。', 'OTHER', 24, 25), ('，', 'OTHER', 33, 34), ('。', 'OTHER', 48, 49), ('。', 'OTHER', 64, 65), ('文明', 'PERSON', 70, 72), ('，', 'OTHER', 72, 73), ('，', 'OTHER', 78, 79), ('，', 'OTHER', 86, 87), ('。', 'OTHER', 94, 95), ('，', 'OTHER', 110, 111), ('，', 'OTHER', 124, 125), ('，', 'OTHER', 146, 147), ('「', 'OTHER', 151, 152), ('」', 'OTHER', 154, 155), ('，', 'OTHER', 155, 156), ('「', 'OTHER', 161, 162), ('」', 'OTHER', 181, 182), ('「', 'OTHER', 190, 191), ('」', 'OTHER', 194, 195), ('「', 'OTHER', 196, 197), ('」', 'OTHER', 200, 201), ('「', 'OTHER', 207, 208), ('伟大光荣', 'OTHER', 222, 226), ('，', 'OTHER', 226, 227), ('」', 'OTHER', 234, 235), ('「', 'OTHER', 240, 241), ('，', 'OTHER', 250, 251), ('（', 'OTHER', 253, 254), ('伟大光荣', 'OTHER', 257, 261), ('）', 'OTHER', 272, 273), ('，', 'OTHER', 277, 278), ('」', 'MOVIE', 284, 285), ('，', 'MOVIE', 285, 286), ('，', 'OTHER', 295, 296), ('。', 'OTHER', 312, 313)]",['文明'],[],[],[],"[('全程', 0.5205327262375), ('讲解', 0.36423426469833337), ('地球', 0.26207603589916667), ('没有', 0.25940196376249997), ('生命', 0.25562952378666665), ('想讲', 0.24905765631041665), ('智性', 0.24905765631041665), ('用在', 0.24905765631041665), ('装和气', 0.24905765631041665), ('笑点', 0.24905765631041665), ('人类', 0.23461102457083335), ('冗长', 0.20894743002291669), ('前脚', 0.20328214428291666), ('全人类', 0.19753827175375002), ('后腿', 0.19728876777354165), ('标签', 0.19167077679541666), ('好笑', 0.17524458178791666), ('虚拟', 0.17490304408416668), ('抗拒', 0.16948930310812502), ('强行', 0.16674007884041667)]","['全程', '讲解', '地球', '没有', '生命', '想讲', '智性', '用在', '装和气', '笑点', '人类', '冗长', '前脚', '全人类', '后腿', '标签', '好笑', '虚拟', '抗拒', '强行']",True,0.0023983928518953373,0.9903950055914593,0.0024066812335107506,1,"[('故事', '中性', 0.0, '故事冗长且稀碎', []), ('冗长', '中性', 0.0, '故事冗长且稀碎。想', []), ('全程', '中性', 0.0, '说清楚。我全程给我妈讲解', []), ('全程', '中性', 0.0, '说清楚。我全程给我妈讲解', []), ('文明', '中性', 0.0, '关于生命和文明，现实和虚', []), ('现实', '中性', 0.0, '命和文明，现实和虚拟，只', []), ('标签', '中性', 0.0, '虚拟，只有标签和口号，没', []), ('口号', '中性', 0.0, '只有标签和口号，没有智性', []), ('智性', '中性', 0.0, '口号，没有智性的讨论。全', []), ('全程', '中性', 0.0, '说清楚。我全程给我妈讲解', []), ('意志', '中性', 0.0, '行按自己的意志支配地球和', []), ('地球', '中性', 0.0, '的意志支配地球和地球上的', []), ('地球', '中性', 0.0, '的意志支配地球和地球上的', []), ('勇气', '中性', 0.0, '并称之为「勇气」，前脚才', []), ('前脚', '中性', 0.0, '「勇气」，前脚才感叹「人', []), ('人类', '中性', 0.0, '脚才感叹「人类把最强的密', []), ('密码', '中性', 0.0, '类把最强的密码用在了互相', []), ('武器', '中性', 0.0, '互相攻击的武器上」后腿就', []), ('后腿', '中性', 0.0, '的武器上」后腿就把人类分', []), ('人类', '中性', 0.0, '脚才感叹「人类把最强的密', []), ('伟大光荣', '中性', 0.0, '人都要正确伟大光荣，听我们的', []), ('装和气', '中性', 0.0, '对了」一面装和气「我们是为', []), ('全人类', '中性', 0.0, '「我们是为全人类考虑，是在', []), ('伟大光荣', '中性', 0.0, '人都要正确伟大光荣，听我们的', []), ('决策', '中性', 0.0, '光荣正确的决策所造成的后', []), ('后果', '中性', 0.0, '策所造成的后果）承担责任', []), ('承担责任', '中性', 0.0, '成的后果）承担责任，不是想搞', []), ('笑点', '中性', 0.0, '刻意制造的笑点，都没有这', [])]",无,无,无,中性,中性,中性,无,无,无,无,0.0023997993228102314,0.0024001210003243567,全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。
豆瓣电影,笨笨！！你是军犬！！,5,水逆退散,2023-01-22 16:30:59,35267208,笨笨！！你是军犬！！,"['笨笨', '军犬']",2,2,0.514987051486969,正面,"[('！', 'OTHER', 2, 3), ('！', 'OTHER', 3, 4), ('！', 'OTHER', 8, 9), ('！', 'OTHER', 9, 10)]",[],[],[],[],"[('军犬', 13.2075304714)]",['军犬'],False,0.0666712055651509,0.06667485989846962,0.06667150863677339,4,"[('军犬', '中性', 0.0, '笨！！你是军犬！！', [])]",无,无,无,无,无,无,无,无,无,无,0.06667329989518322,0.7333091260044229,
豆瓣电影,我看有些人说又红又爹，感觉确实有点儿。但是点完头我又想，美国哪部电影不是又“蓝”又“宇宙第一”？,5,玛丽莲萌鹿,2023-01-24 19:03:12,35267208,我看有些人说又红又爹，感觉确实有点儿。但是点完头我又想，美国哪部电影不是又蓝又宇宙第一？,"['有些', '感觉', '确实', '有点儿', '完头', '美国', '哪部', '电影', '不是', '宇宙', '第一']",11,2,0.4806329607963562,正面,"[('，', 'OTHER', 10, 11), ('。', 'OTHER', 18, 19), ('，', 'MOVIE', 27, 28), ('美国', 'LOCATION', 28, 30), ('？', 'OTHER', 43, 44)]",[],['美国'],[],[],"[('完头', 2.39095350058), ('宇宙', 1.47366867195), ('电影', 1.3315759458360001), ('感觉', 1.128295657862), ('美国', 0.831319246332)]","['完头', '宇宙', '电影', '感觉', '美国']",False,0.016815303801506157,0.01682203930377074,0.016989607293262668,3,"[('感觉', '中性', 0.0, '又红又爹，感觉确实有点儿', []), ('美国', '中性', 0.0, '头我又想，美国哪部电影不', []), ('电影', '中性', 0.0, '，美国哪部电影不是又蓝又', []), ('宇宙', '中性', 0.0, '不是又蓝又宇宙第一？', [])]",中性,无,无,无,无,无,无,无,无,无,0.9323542358487676,0.017018813752692867,
